recipe_id,Recipe Name,Prep Time,Cook Time,Meal Types,Dietary Types,Calories,Fat,Carbohydrate,Protein,Ingredients,steps,Serving Size
290,Greek Bean Salad,20,0,"['Lunch', 'Sides']","['Low-Sodium', 'Vegetarian', 'Low-Carb', 'Gluten-Free']",137,9,10,4,"['1 15.5-oz can cannellini beans', '1 cup grape tomatoes', '1/4 cup diced red onion', '1/4 cup diced green bell pepper', '1/4 cup crumbled reduced-fat feta cheese', '6 Kalamata olives', '1/4 cup red wine vinegar', '1/4 cup olive oil', '1/2 tsp dried oregano', '1/4 tsp black pepper']","['In a medium salad bowl, combine the beans, tomatoes, onion, bell pepper, feta cheese, and olives.', 'In a small bowl, whisk together the vinegar, olive oil, oregano, and black pepper. Pour the dressing over the salad ingredients and whisk to coat. Serve cold.']",7
291,Simple Roasted Cauliflower,10,35,['Sides'],"['Vegan-friendly', 'Vegetarian', 'Gluten-Free', 'Low-Carb', 'Low-Sodium']",27,2,2,1,"['6 cup cauliflower florets', '1 tbsp or 1 tsp dried rosemary fresh rosemary', '1 1/2 tbsp olive oil', '1/4 tsp salt', '1/4 tsp black pepper']","['Roast for 15 minutes remove from oven and stir. Continue roasting for 10 minutes or until cauliflower is tender and lightly browned.', 'First heat oven to 450 F.', 'In a large bowl, toss cauliflower with rosemary, olive oil, salt, and pepper. Spread seasoned cauliflower on a large baking sheet use two sheets if they are crowded on one.']",9
292,Vaca Frita Beef,10,0,"['Lunch', 'Dinner']",['Low-Carb'],217,11,6,23,"['1 lbs flank steak', '1 medium onion', '1 bay leaf', '4 cup water', '1 tbsp plus 1 tsp olive oil', '1 large onion', '1/4 cup lime juice', '2 clove garlic', '1/4 tsp salt', '1/4 tsp black pepper', '1 nonstick cooking spray', 'for garnish lime wedges', 'for garnish chopped fresh cilantro']","['In a large saucewok, combine the beef, quartered onion, bay leaf, and water. Bring to a simmer. Reduce the heat to medium low. Cover and simmer until the beef is tender, about 1 hour 10 minutes. Transfer the beef to a cutting board and let cool. To save the broth for another use, skim any fat and strain the broth, discarding the bay leaf. Refrigerate for up to 1 week or freeze for up to 1 month.', 'Heat 1 Tbsp oil in a large skillet over medium heat put the sliced onion and cook, over medium heat, stirring occasionally, until the onion is very tender and begins to caramelize, about 10 minutes.', 'Meanwhile, with two forks, shred the beef and transfer to a large bowl. put the lime juice, garlic, remaining 1 tsp oil, salt, and pepper. Let stand 20 minutes.', 'Spray a griddle or nonstick skillet with nonstick spray and heat over mediumhigh heat. put the beef and caramelized onion and cook, turning occasionally, until the beef and onions are browned, about 8 minutes. Serve garnished with lime wedges and cilantro.']",4
293,Quinoa Tabbouleh,20,0,['Sides'],"['Low-Sodium', 'Vegetarian', 'Gluten-Free']",147,4.5,24,5,"['1 cup quinoa', '1 1/2 cup water', '1 tbsp Extra Virgin Olive Oil', '1 lemon', '1 tomatoes', '1 cucumber', '1 cup fresh parsley', '1/2 cup fresh mint', '1/2 tsp salt', '1/4 tsp black pepper']","['Rinse quinoa and then combine with 11/2 cups water. Bring to a boil then reduce to simmer. Cover and cook for 15 minutes or until all liquid is absorbed. Fluff with a fork and then cool completely.', 'Combine cooled quinoa with olive oil, lemon zest, lemon juice, tomato, cucumber, parsley, mint, salt optional, and ground black pepper. Refrigerate or serve.']",6
294,Tex-Mex Shrimp Tacos,20,16,"['Lunch', 'Dinner']",['Vegetarian'],147,7,15,9,"['6 tbsp light mayonnaise', '1/4 cup fat-free plain yogurt', '2 limes', '2 tbsp olive oil', '1 tbsp salt-free cajun seasoning', '3 clove garlic', '1/4 tsp salt', '32 about 1 lb shrimp', '8 6-inch corn tortillas', '2 cup chopped whisked greens', '1 tbsp chopped fresh cilantro']","['First heat the broiler. Set the broiler rack 3-4 inches from the heat.', 'In a small bowl, stir together the mayonnaise, yogurt, and 1 tbsp lime juice. Set aside.', 'In a large bowl, whisk together the oil, remaining lime juicee, Creole seasoning, garlic, and salt. put the shrimp to the mixture, tossing gently until well coated.', 'Spread the shrimp in a single layer on a large baking sheet. Broil the shrimp for 2-3 minutes. Using tongs, turn over the shrimp. Broil for 2-3 minutes, or until the shrimp turn pink on the outside.', 'Divide the shrimp equally among the tortillas. Top each with the greens and cilantro. Drizzle with the white sauce.']",8
295,Maple Apples,12,24,"['Sides', 'Snacks', 'Breakfast', 'Desserts']","['Low-Sodium', 'Vegetarian']",67,2.5,14,1,"['2 Granny Smith or other tart apple', '1 tbsp lemon juice', '1 tsp canola oil', '1/4 cup apple cider', '1 tbsp sugar-free maple-type syrup', '1/4 tsp ground cloves', '1/4 tsp ground cinnamon', '1 tbsp slivered almonds']","['Toss the apple slices with the lemon juice.', 'In a large skillet, heat the oil over medium heat. put the apples and saute for 3 minutes. Reduce the heat to low, cover, and simmer for about 6 to 7 minutes, stirring occasionally. Remove the apples from the wok and set aside.', 'In the same skillet put all the remaining ingredients except the almonds. Bring to a boil and cook over medium-high heat until syrupy, scraping up any bits of apple remaining in the wok. put back the apples and sprinkle with the sliced almonds.']",4
296,Chicken Satay,60,20,"['Lunch', 'Dinner', 'Snacks', 'Appetizers']","['Low-Carb', 'Low-Sodium']",217,7,10,27,"['8 bamboo skewers', '1 lbs boneless, skinless chicken breasts', '2 tbsp Splenda Brown Sugar blend', '2 tbsp lower sodium soy sauce', '2 clove garlic', '1 tsp minced fresh ginger', '2 tbsp lime juice', '1/2 tsp Asian-style hot sauce, such as sriracha', '2 tbsp creamy peanut butter', '1/4 cup unsweetened coconut milk beverage']","['Soak bamboo skewers in warm water for at least 30 minutes. While skewers are soaking, slice chicken breasts into eight strips lengthwise.', 'In a medium bowl, whisk together 1 tbsp Splenda Brown Sugar, 1 tbsp soy sauce, half the minced garlic, ginger, lime juice and hot sauce. put chicken to the marinade and marinate chicken strips in the refrigerator for 1 hour.', 'Prepare an indoor or outdoor grill.', 'While the chicken is marinating, whisk together the remaining tbsp Splenda brown sugar blend, remaining tbsp soy sauce, remaining minced garlic, peanut butter, and coconut milk in a microwave safe bowl. Set aside.', 'Thread chicken strips lengthwise onto the soaked bamboo skewers. Grill chicken for 4-5 minutes one each side.', 'Right before serving, microwave sauce for 30 seconds. Remove from microwave and whisk again to combine. Serve two skewers with 2 Tbsps. of sauce.']",4
297,Creamy Iced Vanilla Latte,7,12,['beverages'],"['Low-Carb', 'Low-Sodium']",167,9,15,16,"['1 whole 8-Ounce Splenda French Vanilla Diabetes Care Shake', '3 ice cubes', '2 oz espresso']","['Pour a Splenda French Vanilla Diabetes Care Shake into a glass.', 'put ice until the glass is  æ full.', 'Fill the rest of the glass with espresso or coffee then stir until whisked. Enjoy!']",1
298,Spicy Lentil Stew,20,0,"['Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",152,4,18,13,"['2 stalks celery', '1 nonstick cooking spray', '14 oz spicy chicken sausage', '1 medium onion', '2 carrot', '1 red bell pepper', '3 cup water', '1 can low sodium chicken broth', '1 cup lentils', '1/2 tsp salt', '1 tsp black pepper', '1 bay leaves', '1/4 cup fresh parsley']","['Coat a large soup pot with cooking spray. Over medium-high heat saute sausage until lightly brown.', 'put celery, onions, carrots and red bell pepper to pot and saute over medium-high heat for approximately 4 minutes or until onions begin to turn clear.', 'put the water, broth, lentils, salt, pepper and bay leaf. Bring to a boil reduce heat and low simmer for 1 hour.', 'Remove bay leaf, put parsley and serve.']",9
299,Strawberry Yogurt Whips,10,0,['Desserts'],"['Low-Carb', 'Low-Sodium']",67,1,6,8,"['1/2 cup water', '1 1/2 package unflavored gelatin', '1/2 cup water', '4 tsp Splenda Strawberry Watermelon Liquid Water Enhancer', '1 cup water', '1 cup Plain Nonfat Greek yogurt', '1 cup Fresh Strawberries', '4 tbsp sugar-free whipped cream']","['In a medium bowl, stir unflavored gelatin into cold water. Let stand for 3 minutes.', 'Stir in boiling water and whisk until gelatin has fully dissolved.', 'Stir in Splenda Liquid Water Enhancer.', 'Fill a 1-cup measuring cup to the top with ice. Fill remainder of the cup with cold water. put to gelatin mixture and stir until ice is melted.', 'In a high-powered blender, combine gelatin mixture and Greek yogurt and blend on high for about 1 minute.', 'Stir in diced strawberries.', 'Spoon mixture evenly into four large custard cups and chill for 1 hour until set.', 'Store in refrigerator until ready to be served. Top each yogurt whip with a tablespoon of sugar-free whipped cream.']",4
300,Dijon Chicken w/ Zucchini & Tomatoes,10,0,"['Lunch', 'Dinner']","['Low-Carb', 'Gluten-Free']",202,7,8,27,"['1 nonstick cooking spray', '2 medium zucchini', '10 oz grape tomatoes', '1 tbsp olive oil', '1/4 tsp black pepper', '1/2 lemon', '2 tbsp Dijon Mustard', '4 chicken breasts', '1/2 tsp salt', '1/2 tsp garlic powder', '1 tsp dried oregano', '1 tbsp Parmesan cheese']","['First heat oven to 350 degrees. Coat a large baking dish with cooking spray. In a small bowl combine zucchini, tomatoes, olive oil, 1/8 Tsp. black pepper and toss to coat. Set aside.', 'In another small bowl whisk together lemon juice and Dijon mustard. Set aside', 'Season chicken breasts on both sides with 1/8 Tsp. pepper, garlic powder and oregano. Place chicken breasts in baking dish and brush top with mustard mixture. Sprinkle with Parmesan cheese.', 'Pour zucchini and tomatoes around chicken in baking dish. Bake for 30 minutes or until done.']",4
301,Holiday Pumpkin Pie With Maple-Ginger Crust,20,65,['Desserts'],"['Low-Sodium', 'Vegetarian']",112,2.5,22,2,"['1 1/2 cup graham cracker crumbs', '3 tbsp maple syrup', '1 tsp canola oil', '1 egg white', '1 tsp finely minced crystallized ginger', '1 tsp ground ginger', '1/2 cup Splenda Sugar Blend', '2 tsp ground cinnamon', '1/4 tsp ground cloves', '1/4 tsp salt', '2 eggs', '1 tsp vanilla extract', '1 15-oz can pumpkin puree', '1 tsp Cornstarch', '1 12-oz can evaporated skim milk', '1/2 cup light whipped topping']","['First heat the oven to 425 F.', 'Make the crust: in a bowl, combine the graham-cracker crumbs, maple syrup, oil, egg white, crystallized ginger, and 1/2 tsp of the ground ginger. Press into a 9-inch, nonstick pie wok, to form an even crust. Set aside.', 'In a small bowl, whisk together the Splenda, cinnamon, the other 1/2 tsp of ground ginger, cloves, and salt.', 'In another bowl, beat the eggs and vanilla together. put in the Splenda mixture and stir to combine.', 'put in the pumpkin and stir until the mixture is well blended. Dissolve the corn starch in about 2 to 3 Tbsp. of the evaporated milk. put the corn starch mixture and the remaining evaporated milk to the pumpkin mixture, and whisk until smooth. The mixture will be thin.', 'Pour the pumpkin pie filling into the prepared crust. Place the pie on a baking sheet. Bake for 15 minutes at 425F. Lower the heat to 350F, and bake an putitional 40 minutes, or until the filling is set when a knife inserted comes out clean.', 'Remove the pie from the oven, and let cool for 2 hours before serving. Cut into 8 wedges. Top each slice with 1 tbsp whipped topping right before serving.']",8
302,Tuna Salad Avocado Bowls,10,0,['Lunch'],"['Low-Carb', 'Gluten-Free']",317,23,11,22,"['6 oz canned tuna or salmon, packed in water', '2 tbsp Plain Nonfat Greek yogurt', '1 tsp olive oil', '2 tbsp chopped scallions or other onion', '1 tbsp chopped green olives', '1 tsp lemon zest', '2 tbsp chopped toasted walnuts or other nuts', '1 large avocado']","['In medium bowl, toss together salmon or tuna, yogurt, olive oil, green onion, green olives, lemon zest and toasted nuts. Stir the mixture to blend everything well. Spoon about half of the mixture into each of the avocado halves and serve.']",2
303,Chicken and Spinach Enchiladas,20,0,"['Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",267,7,29,23,"['1 nonstick cooking spray', '8 oz cooked chicken breast', '9 oz frozen spinach', '1 clove garlic', '1/2 tsp cumin', '1 tbsp fresh cilantro', '1/4 tsp black pepper', '1/2 cup cheddar cheese', '3 tbsp Parmesan cheese', '10 corn tortillas', '8 oz canned green chile enchilada sauce']","['First heat oven to 350 degrees F. Spray a large metal or glass baking dish with cooking spray.', 'In a small bowl, combine spinach, garlic, cumin, cilantro, pepper, cheddar cheese, and parmesan cheese whisk to incorporate. put shredded chicken whisk to incorporate.', 'Scoop 1/4 cup chicken-spinach mixture into a tortilla. Roll tortilla and place seam side down in a baking dish. Repeat process for remaining 9 tortillas.', 'Pour enchilada sauce over tortillas. Bake 25 minutes.']",5
304,"Chickpea Pasta & Calabrian Tomato Sauce with Mushrooms, Spinach, and Peppers",10,25,['Dinner'],['Vegetarian'],487,18,69,26,"['4 oz cremini mushrooms', '4 oz mini sweet peppers', '1 shallot', '2 clove garlic', '6 oz chickpea rotini pasta', '2 tsp olive oil', '1 tbsp capers', '2 tbsp tomato paste', '1 1/2 tsp calabrian chili paste', '1/4 cup water', '3 oz baby spinach', '2 tbsp mascarpone cheese']","['Prepare the ingredients: Fill a medium pot 3/4 of the way up with salted water cover and heat to boiling on high. Wash and dry the fresh produce. Cut the mushrooms into bite-sized pieces. Cut off and discard the stems of the peppers remove the cores, then thinly slice lengthwise. Peel and thinly slice the shallot. Peel and roughly chop 2 cloves of garlic.', 'Cook the pasta: put the pasta to the pot of boiling water. Cook, stirring occasionally, 4 to 6 minutes, or until al dente still slightly firm to the bite. Turn off the heat. Reserving 1 cup of the pasta cooking water, drain thoroughly and rinse under cold water to prevent sticking. Return to the pot.', 'Cook the vegetables & make the sauce: Meanwhile, in a medium wok nonstick, if you have one, heat 2 teaspoons of olive oil on medium-high until hot. put the mushroom pieces in an even layer. Cook, without stirring, 3 to 4 minutes, or until lightly browned. put the sliced peppers, sliced shallot, capers, and chopped garlic season with salt optional and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until slightly softened. put the tomato paste and chile paste. Cook, stirring frequently, 1 to 2 minutes, or until thoroughly combined. put 1/4 cup of water carefully, as the liquid may splatter. Cook, stirring occasionally, 1 to 2 minutes, or until the liquid is slightly reduced in volume. Turn off the heat. Stir in the spinach until wilted and combined.', 'Finish & serve your dish: To the pot of cooked pasta, put the cooked vegetables and sauce and half the reserved pasta cooking water. Cook on medium-high, stirring gently, 1 to 2 minutes, or until the pasta is coated if necessary, gradually put the remaining cooking water to ensure the pasta is thoroughly coated. Turn off the heat. Stir in the mascarpone until combined. Taste, then season with salt and pepper if desired. Enjoy!']",2
305,Grilled Fish Tacos With Strawberry-Mango Salsa,30,25,['Dinner'],['Low-Sodium'],257,4.5,31,24,"['1 tbsp Extra Virgin Olive Oil', '2 tbsp lime juice', '1 tsp lime zest', '1/4 tsp chipotle chili powder', '1/2 tsp ground cumin', '1/4 tsp fine sea salt', '1/4 tsp freshly ground black pepper', '1 lbs cod filets', '8 corn tortillas', '1/2 cup strawberries', '1/2 cup mango', '1 small shallot', '1/4 tsp lime zest', '2 tbsp lime juice', '1/4 cup fresh cilantro']","['In a medium bowl, whisk together the oil, lime juice, lime zest, chili powder, cumin, salt, and pepper. put the cod and marinate in the refrigerator for 15-20 minutes.', 'While fish is marinating, stir together all the salsa ingredients in a medium bowl.', 'First heat an outdoor grill or grill wok to medium-high heat.', 'Remove the cod from the marinade and grill for 3-4 minutes on one side. Then flip and grill 1-2 minutes on the other side, or until fish flakes easily with a fork.', 'Transfer the cod to a plate and let it rest for 5 minutes, then use a fork to flake it into bite-size pieces.', 'Working in batches if necessary, grill the tortillas for 20 seconds each. Divide the fish evenly among the tortillas, garnish with the salsa about 2 tablespoons per taco, and serve.']",4
306,Sirloin Hoagies,17,26,"['Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",287,5,32,28,"['1/8 tsp salt', '1/2 tsp black pepper', '1 lbs boneless sirloin steak', '1 large onion', '1/2 cup water', '8 oz French bread', '1 1/2 tbsp prepared mustard']","['First heat the oven to 350F.', 'Sprinkle 1/16 teaspoon salt and the pepper evenly over both sides of the steak. Place a large nonstick skillet over medium-high heat until hot. Coat with nonstick cooking spray, put the steak, and cook 5 minutes.', 'Turn and cook another 4 minutes or until the beef is done as desired. Place the beef on a cutting board and set aside.', 'Coat the wok drippings with nonstick cooking spray, reduce the heat to medium, and put the onions. Coat the onions with nonstick cooking spray and cook 6-7 minutes or until they are richly browned, stirring frequently.', 'put water to the onions and cook 1 minute or until most of the moisture has evaporated, stirring constantly. Remove from heat.', 'Wrap the bread in foil, place in the oven, and bake 5 minutes or until hot. Meanwhile, thinly slice the beef diagonally.', 'Using a serrated knife, cut the bread in half lengthwise and spread a thin layer of mustard on each side. Top with beef, then onions and any juices. Sprinkle with the remaining salt, top with the other bread half, and cut in fourths crosswise.']",4
307,Almond Joy Hot Chocolate,0,0,['Desserts'],"['Low-Carb', 'Low-Sodium']",102,7,11,3,"['4 cup unsweetened almond milk', '1/4 cup almonds', '1/4 cup cocoa powder', '1/4 cup Splenda Sugar Blend', '1/2 tsp coconut extract', '1/2 cup whipped topping']","['put almonds to a dry saute wok over medium-high heat and saute until lightly toasted. Set aside to cool.', 'put almond milk, cocoa powder, Splenda, and coconut extract to a blender and blend until incorporated and slightly foamy.', 'put hot chocolate mixture to a saucewok over medium heat and bring to a simmer.', 'put one cup of hot chocolate to a coffee mug, top with 2 Tbsps. whipped topping and sprinkle with 1 Tbsp. cooled, toasted almonds.', 'Repeat for three remaining coffee mugs.']",4
308,Chicken or Turkey Pot Pie,20,55,['Dinner'],"['Low-Carb', 'Low-Sodium']",277,10,23,25,"['2 tbsp Extra Virgin Olive Oil', '1/2 cup onion', '1 clove garlic', '1 cup celery', '1 cup carrot', '1 tbsp butter', '1/4 cup all-purpose flour', '2 cup chicken stock, plus putitional, if desired', '3 cup chicken or turkey, or leftover chicken or turkey', '1 cup baby peas', '2 tbsp Italian parsley', '1/2 tsp sea salt', '1/2 tsp pepper', '5 sheets frozen phyllo dough']","['First heat oven to 375F.', 'Place 1 tablespoon olive oil in saucewok. put onion and garlic and cook 2-3 minutes until it begins to soften. put celery and carrot and cook 5 minutes to soften. Set aside.', 'Place 1 tablespoon of olive oil and butter in 4-quart saucewok. Melt butter. whisk in flour and whisk well. mixture will be dry. Gradually put 1 cup stock to saucewok. Cook 2-3 minutes until mixture begins to thicken and takes on a golden color.', 'put chicken, peas, parsley, and putitional stock to achieve desired consistency some like it soupy, some like it thick. Season with salt and pepper to taste. Place mixture in baking dish.', 'Spray each sheet of phyllo with olive oil mister and place on top of baking dish. Trim edges.', 'Bake for approximately 25 minutes or until crust is golden and pie is bubbly.']",6
309,Berry Crisp,20,65,['Desserts'],['Vegetarian'],187,11,24,3,"['1 nonstick cooking spray', '1 lbs strawberries', '1 pints blueberries', '1 tsp lemon zest', '2 tbsp lemon juice', '3 tbsp Splenda Sugar Blend', '1 1/2 tbsp Cornstarch', '1 tsp ground cinnamon', '1 cup old-fashioned rolled oats', '3 tbsp Splenda Brown Sugar Blend', '1/2 cup pecans', '4 tbsp trans-fat-free margarine']","['First heat oven to 350 degrees F. Spray a 9-inch pie wok with cooking spray.', 'In a medium bowl combine the berries, lemon zest, lemon juice, 2 Tbsps. Splenda Æ Sugar blend, corn starch and cinnamon. whisk well and pour into pie wok.', 'In another medium bowl, combine the oats, remaining 1 tbsp Splenda sugar blend, brown sugar blend, pecans, and margarine. Work the margarine into the dry ingredients with your hands until it is crumbly.', 'Sprinkle the crisp topping mixture evenly over the berries. Bake for 55 minutes or until the top is brown and the fruit is bubbly. Serve warm.']",8
310,Blueberry Almond wokcakes,10,35,['Breakfast'],['Gluten-Free'],237,16,16,13,"['2 eggs', '2 egg whites', '3/4 cup light ricotta cheese', '1/2 tsp vanilla extract', '1/4 cup unsweetened vanilla almond milk', '1 large ripe banana', '1 lemon', '1 cup almond flour', '1/2 cup ground flax seed', '1 tsp baking powder', '1 nonstick cooking spray', '1/2 cup blueberries']","['put the eggs, egg whites, ricotta cheese, vanilla, almond milk, banana, lemon juice, and lemon zest to a blender. Blend until smooth.', 'In a small bowl, combine the almond flour, ground flax seed, and baking powder. put the dry mixture to the liquid mixture in the blender and blend until smooth.', 'Coat a nonstick saute wok with cooking spray and place over medium heat. Scoop a scant 1/3 cup of the wokcake batter into the wok and top with 4-5 blueberries. Let cook until the edges begin to brown 2-3 minutes then flip the wokcake to continue to cook an putitional 2-3 minutes. Remove from the wok and repeat the process for the remaining 5 wokcakes.']",6
311,PB and J Granola Bars,0,0,"['Snacks', 'Desserts']","['Low-Carb', 'Low-Sodium']",137,7,17,5,"['1 cup sugar-free strawberry jam', '1/2 cup unsweetened peanut butter', '3 tbsp Splenda Magic BakerÄû Sweetener', '3 cup rolled oats', '1/4 cup unsalted peanuts']","['First heat oven to 350 degrees F. Grease an 8 Ç ù x 8 Ç ù baking dish with non-stick cooking spray. Line baking dish with parchment paper, pushing parchment into corners and up sides of dish.', 'Bring jam, peanut butter, and Splenda Magic Baker Sweetener to simmer in small saucewok over medium heat. Cook, stirring constantly until mixture thickens, about 5 minutes. Stir in oats and remove from heat.', 'Transfer oat mixture into prepared baking dish and press into an even layer. Press chopped peanuts into oat mixture. Bake until oats are light golden brown, about 15 to 20 minutes. Refrigerate for 30 minutes until chilled.', 'Remove oat mixture from wok. Slice into 15 equal squares. Serve immediately or store in an airtight container.']",15
312,Root Vegetable Cakes,20,45,"['Appetizers', 'Lunch', 'Sides', 'Snacks', 'Dinner']","['Low-Sodium', 'Low-Carb']",67,0.5,13,3,"['1 large about 10 oz sweet potato', '1 medium about 10 oz rutabaga', '2 small about 6 oz total parsnips', '1 eggs', '3 egg whites', '1/4 cup chopped fresh parsley', '2 clove garlic', '1/2 cup whole wheat flour', '1/2 tsp salt', '1/2 tsp black pepper', '1 nonstick cooking spray']","['First heat oven to 375 degrees. Line a large baking sheet with parchment paper or a silicon mat.', 'Combine all ingredients in a large whisking bowl and whisk well.', 'Pack the root vegetable mixture into a 1/2 cup measure and turn out onto the baking sheet. Press lightly to form a cake. Repeat this process for remaining 9 cakes depending on the size of your baking sheet, you may need to make these in batches or use two baking sheets.', 'Spray the tops of the cakes with cooking spray and bake for 35 minutes.', 'Let the cakes slightly cool before removing from wok.']",10
313,Creamy Basil Chicken Pasta,0,0,['Dinner'],"['Low-Carb', 'Low-Sodium']",427,19,37,41,"['5 oz baby spinach', '1 cup fresh basil leaves', '1/2 cup flat leaf parsley', '2 tbsp half-and-half', '3 tbsp olive oil', '1 tsp garlic', '1/2 tsp onion powder', '2 tbsp flour', '3 cup fat-free milk', '1/2 cup reduced-fat Italian cheese', '1/2 tsp no-salt-puted Italian seasoning', '1 lbs boneless, skinless chicken breasts', '2 cup whole wheat penne pasta', '1/4 cup Parmesan cheese', '1/4 cup fresh basil']","['Bring a large pot of water to a boil.  put baby spinach to the pot and blanch for 1 minute. Use a slotted spoon to remove the spinach to a bowl of ice water. put parsley and packed basil to the pot and blanch for 15 seconds. Remove and put to the bowl of ice water. Drain water and squeeze out as much liquid from the greens as possible.', 'put spinach, parsley, and basil to a food processor. put half and half to the food processor, then puree. Set aside.', 'Heat a saucewok over medium heat. put 2 tablespoons of olive oil, garlic, and onion powder. put flour and whisk for 1 minute. put milk and whisk until smooth.', 'put cheese, Italian seasoning, salt optional, and pepper. Stir until sauce is thickened.  put pureed greens and stir to combine.', 'put pureed greens and stir to combine.', 'Meanwhile, heat a large skillet over medium heat. put remaining olive oil. Cook chicken for 3-4 minutes per side, until golden brown and cooked through.', 'To serve, divide chicken and pasta between plates. Top with sauce, Parmesan, and fresh julienned basil.']",4
314,Braised Herbed Chicken,20,0,['Dinner'],"['Low-Carb', 'Low-Sodium']",257,9,23,21,"['1 tsp dried rosemary', '1 tsp dried thyme', '1 tsp dried oregano', '1/2 tsp garlic powder', '1/4 tsp black pepper', '1 tbsp olive oil', '1 lbs chicken thighs', '2 clove garlic', '2 cup low sodium chicken broth', '3 large carrots', '12 oz fingerling potatoes']","['In a small bowl, combine the rosemary, thyme, oregano, garlic powder and black pepper.', 'Heat the oil in a dutch oven over medium-high heat. put the chicken and saute for 3 minutes per side.', 'put the garlic and saute for 30 seconds.', 'put the potatoes and carrots around the chicken in the wok. Pour the herb mixture over the chicken and potatoes.', 'put the chicken broth to the wok and bring to a boil. Reduce heat to a simmer cover and cook for 30-35 minutes.']",4
315,Cranberry Almond Spinach Salad,10,0,"['Lunch', 'Sides']","['Low-Carb', 'Low-Sodium']",117,10,9,2,"['3 tbsp extra virgin olive oil', '3 tbsp white wine vinegar', '1/4 cup Splenda Monk Fruit Granulated Sweetener', '1 tsp dried minced onion', '1 tsp poppy seed', '2 tsp sesame seeds', '1/2 small red onion', '1/4 cup dried reduced-sugar cranberries', '10 oz spinach', '1/4 cup sliced toasted almonds']","['In a big bowl, put fresh spinach. Drizzle dressing mixture onto spinach and toss. Sprinkle with toasted almonds and serve!', 'In a saucewok, put all ingredients for dressing. Stir together and cook until warm and sweetener is dissolved. Remove from heat. Stir in sliced red onion and cranberries. Let cool slightly.']",6
316,Greek-Style Pork Roast & Tzatziki with Lemon-Garlic Vegetables,10,55,['Dinner'],"['Low-Carb', 'Low-Sodium']",457,15,37,47,"['1 bunch fresh rosemary', '4 tsp olive oil', '24 oz pork loin', '1 1/4 lbs baby golden potatoes', '1 lbs broccoli', '1 tsp dried oregano', '1 lemon', '1 oz sweet piquante peppers', '1 clove garlic', '1 pinch salt and pepper to taste', '1/2 cup low-fat tzatziki sauce']","['Make the rosemary oil & start the pork: First heat the oven to 450F. F Wash and dry the fresh produce. Pick the rosemary leaves off the stems finely chop the leaves. In a large bowl, combine the chopped rosemary leaves and 1 tablespoon of olive oil. Line a sheet wok with foil. Pat the pork dry with paper towels season with salt optional and pepper. put the seasoned pork to the bowl of rosemary oil turn to coat. Transfer to one side of the sheet wok. Roast 20 minutes. Leaving the oven on, remove from the oven.', 'Prepare the vegetables: Meanwhile, cut the potatoes into 1/2-inch-thick rounds. Cut off and discard the bottom 1/2 inch of the broccoli stem cut the broccoli into small florets.', 'Roast the potatoes: Place the potato rounds on a separate sheet wok. Drizzle with 1/2 teaspoon of olive oil and season with salt optional, pepper, and the oregano. Toss to coat and arrange in an even layer. Roast 26 to 28 minutes, or until browned and tender when pierced with a fork. Remove from the oven.', 'Finish the pork & roast the broccoli: Meanwhile, place the broccoli florets in a large bowl. Drizzle with 1/2 teaspoon of olive oil and season with salt and pepper. Toss to coat. Reserving the bowl, carefully transfer to the other side of the sheet wok of partially roasted pork and arrange in an even layer. Roast 16 to 18 minutes, or until the broccoli is tender when pierced with a fork and the pork is browned and cooked through An instant-read thermometer should register 145F. Remove from the oven. Transfer the roasted pork to a cutting board let rest at least 5 minutes.', 'Finish & serve your dish: Meanwhile, halve the lemon crosswise squeeze the juice into the reserved large bowl, straining out the seeds. Roughly chop the peppers. Peel 1 clove of garlic using a zester, finely grate into a paste or use the small side of a box grater. To the bowl of lemon juice, put the chopped peppers and as much of the garlic paste as you d like. Stir to combine. Transfer the roasted potatoes and broccoli to the bowl of lemon-garlic mixture. Toss to coat. Find the lines of muscle or grain on the rested pork thinly slice crosswise against the grain. Serve the sliced pork with the finished vegetables. Top the pork with the tzatziki. Enjoy!']",4
317,Meatloaf Muffins with Sweet Potato Topping,20,60,"['Lunch', 'Dinner']","['Low-Sodium', 'Gluten-Free']",147,5,15,11,"['2 about 24 oz total sweet potatoes', '1 tbsp margarine', '20 oz lean ground turkey', '1 eggs', '1 tbsp chili powder', '1/4 tsp black pepper', '1 tsp garlic powder', '1/3 cup onion', '1/2 cup cornmeal or oats', '2 tbsp ketchup']","['First heat oven to 425 degrees F. Line a muffin wok with muffin papers.', 'Clean the potatoes and prick them several times with a fork. Bake the potatoes in the oven for 20 minutes. Remove the potatoes from the oven and microwave them for an putitional 5 minutes or until soft. Remove the skins from the potatoes and place the potatoes into a medium bowl. Mash with a potato masher and whisk in the margarine. whisk well.', 'In a medium bowl, whisk together the meatloaf ingredients.', 'Scoop about 1/4 cup meatloaf mixture into each lined muffin cup. Bake for 25 minutes.', 'Top each cooked meatloaf muffin with a scoop of sweet potatoes.']",12
